Time,HT,vs,VT
2018/5/19 21:00,Chievo,vs,Sampdoria
2018/5/19 21:00,Empoli,vs,Torino
2018/5/19 21:00,Genoa,vs,Cagliari
2018/5/19 21:00,Juventus,vs,Atalanta
2018/5/19 21:00,Lazio,vs,Bologna
2018/5/19 21:00,Milan,vs,Frosinone
2018/5/19 21:00,Parma,vs,Fiorentina
2018/5/19 21:00,Sassuolo,vs,Roma
2018/5/19 21:00,Udinese,vs,Spal
2018/5/20 2:30,Napoli,vs,Inter
2018/5/26 21:00,Atalanta,vs,Sassuolo
2018/5/26 21:00,Bologna,vs,Napoli
2018/5/26 21:00,Cagliari,vs,Udinese
2018/5/26 21:00,Fiorentina,vs,Genoa
2018/5/26 21:00,Frosinone,vs,Chievo
2018/5/26 21:00,Inter,vs,Empoli
2018/5/26 21:00,Roma,vs,Parma
2018/5/26 21:00,Spal,vs,Milan
2018/5/26 21:00,Sampdoria,vs,Juventus
2018/5/26 21:00,Torino,vs,Lazio
